id,person_id,kind,area,area_detail,time_spent,date_done,date_created
1,1,Theoretical,House work,Fair Work System,180,2010-01-01,2010-01-01 08:58:14
2,2,Theoretical,Community work,Visitors,60,2010-01-01,2010-01-01 10:51:32
3,3,Practical (once),Other,,360,2010-02-09,2010-01-01 12:52:16
4,4,Practical (repetitive),House work,House work,120,2010-01-01,2010-01-01 20:10:09
5,5,Practical (repetitive),House technic work,House technic work,60,2010-01-01,2010-01-01 20:51:16
6,7,Practical (repetitive),House technic work,House technic work,30,2010-01-01,2010-01-02 07:25:14
7,8,Meeting,Other,,90,2010-02-28,2010-01-03 10:19:27
8,8,Practical (repetitive),House work,Garden,300,2010-02-30,2010-01-03 10:21:33
9,9,Theoretical,Administration work,Board of Directors,150,2010-01-02,2010-01-03 12:19:30
10,9,Theoretical,Administration work,Board of Directors,120,2010-01-01,2010-01-03 12:20:15
11,10,Theoretical,Administration work,Area Representatives,420,2010-01-01,2010-01-03 15:10:42
12,10,Theoretical,Administration work,Area Representatives,480,2010-01-03,2010-01-03 15:11:21
13,5,Practical (repetitive),House technic work,House technic work,60,2010-01-02,2010-01-03 18:08:29
14,11,Theoretical,Community work,Community work,60,2010-01-03,2010-01-03 19:05:27
15,11,Theoretical,Community work,Area Representatives,120,2010-01-02,2010-01-03 19:07:03
16,7,Practical (repetitive),House technic work,House technic work,30,2010-01-03,2010-01-03 19:22:10
17,7,Meeting,House technic work,Interior planning,60,2010-01-03,2010-01-03 19:24:07
18,7,Practical (once),House work,Garden,90,2010-01-02,2010-01-03 19:25:46
19,13,Practical (repetitive),Communication work,Hotel,90,2010-01-03,2010-01-04 05:51:17
20,13,Practical (repetitive),Communication work,Hotel,30,2010-01-03,2010-01-04 05:52:02
21,17,Theoretical,House work,Garden,90,2010-01-01,2010-01-04 07:44:42
22,17,Theoretical,House work,House work,60,2010-01-04,2010-01-04 07:45:33
23,17,Practical (repetitive),House work,Garden,120,2010-01-02,2010-01-04 07:46:11
24,17,Practical (repetitive),House work,Garden,30,2010-01-03,2010-01-04 07:47:30
25,17,Practical (repetitive),House work,Garden,30,2010-01-03,2010-01-04 07:48:07
26,3,Theoretical,Administration work,Area Representatives,180,2010-01-02,2010-01-04 08:36:52
27,18,Theoretical,Community work,Community work,30,2010-01-04,2010-01-04 09:11:15
28,20,Practical (repetitive),House work,Garden,120,2010-01-03,2010-01-04 12:56:45
29,20,Practical (repetitive),Community work,Cake Day,60,2010-01-03,2010-01-04 12:58:18
30,21,Practical (once),House work,Garden,30,2010-01-03,2010-01-04 13:40:44
31,21,Practical (repetitive),House work,Garden,30,2010-01-03,2010-01-04 13:41:51
32,22,Practical (once),House technic work,Interior planning,120,2010-01-04,2010-01-05 19:57:21
33,10,Theoretical,Administration work,Area Representatives,240,2010-01-05,2010-01-04 18:31:25
34,24,Theoretical,Community work,Community action,30,2010-01-04,2010-01-13 11:09:07
35,24,Practical (once),Community work,Community action,30,2010-01-01,2010-01-13 11:10:25
36,24,Practical (repetitive),Community work,Visitors,30,2010-01-04,2010-01-13 11:09:50
37,7,Meeting,House technic work,Outdoor planning,60,2010-01-04,2010-01-04 21:09:20
38,25,Theoretical,Administration work,Board of Directors,150,2010-01-01,2010-01-04 21:54:28
39,25,Meeting,Administration work,Board of Directors,300,2010-01-03,2010-01-04 22:00:32
40,25,Meeting,Administration work,Board of Directors,240,2010-01-04,2010-01-04 22:02:03
41,25,Practical (once),House work,Cleaning,420,2010-01-03,2010-01-04 22:09:26
42,8,Meeting,House work,Garden,90,2010-01-04,2010-01-04 23:35:09
43,8,Theoretical,House work,Garden,60,2010-01-04,2010-01-04 23:36:04
44,26,Theoretical,House technic work,House technic work,120,2010-01-04,2010-01-05 11:50:43
45,22,Practical (once),House technic work,Interior planning,60,2010-01-05,2010-01-05 19:58:55
46,13,Practical (once),Communication work,Hotel,60,2010-01-05,2010-01-05 21:13:01
47,28,Practical (once),House technic work,House technic work,180,2010-01-02,2010-01-05 21:15:45
48,28,Practical (repetitive),Community work,Movie Night,60,2010-01-04,2010-01-05 21:16:45
49,15,Meeting,Administration work,Supervisory Board,150,2010-01-05,2010-01-06 07:12:51
50,15,Theoretical,Administration work,Supervisory Board,60,2010-01-02,2010-01-06 07:13:36
51,29,Theoretical,Community work,Community building,60,2010-01-01,2010-01-06 07:26:51
52,29,Theoretical,Community work,Community building,60,2010-01-02,2010-01-06 07:28:46
53,29,Theoretical,Community work,Community building,90,2010-01-05,2010-01-06 07:30:18
54,30,Meeting,Community work,Community building,120,2010-01-05,2010-01-06 07:57:57
55,30,Practical (repetitive),Other,,90,2010-01-04,2010-01-06 08:00:08
56,30,Theoretical,Community work,Community building,60,2010-01-03,2010-01-06 08:02:21
57,25,Meeting,Administration work,Board of Directors,240,2010-01-05,2010-01-06 08:13:31
58,2,Theoretical,Community work,Visitors,60,2010-01-06,2010-01-06 08:52:09
59,31,Meeting,Administration work,Supervisory Board,150,2010-01-05,2010-01-06 09:31:28
60,31,Practical (once),House technic work,House technic work,120,2010-01-06,2010-01-06 09:36:11
61,31,Practical (once),House technic work,House technic work,120,2010-01-05,2010-01-06 09:35:55
62,31,Practical (once),House technic work,House technic work,60,2010-01-04,2010-01-06 09:36:50
63,31,Theoretical,House technic work,House technic work,60,2010-01-05,2010-01-06 09:37:58
64,31,Theoretical,House technic work,House technic work,60,2010-01-05,2010-01-06 09:38:58
65,31,Theoretical,House technic work,House technic work,60,2010-01-04,2010-01-06 09:39:44
66,31,Theoretical,Administration work,Supervisory Board,60,2010-01-04,2010-01-06 09:41:01
67,31,Theoretical,Administration work,Supervisory Board,30,2010-01-03,2010-01-06 09:44:31
68,31,Theoretical,House technic work,House technic work,60,2010-01-03,2010-01-06 09:46:45
69,32,Theoretical,House work,Cooking,120,2010-01-06,2010-01-06 14:52:36
70,32,Meeting,House work,Cooking,60,2010-01-06,2010-01-06 16:23:19
71,34,Meeting,House work,Cooking,60,2010-01-06,2010-01-06 19:28:29
72,7,Meeting,House technic work,House technic work,60,2010-01-06,2010-01-07 11:23:22
73,7,Meeting,Community work,Community gathering,180,2010-01-07,2010-01-07 11:24:47
